ASSERTION	AAMDAAMFAAAAAAAAAFlA
RUN	perfectmatch.LoadTest	loadtest	1557346210828	 	3.0.2
USER	RampUpUsers	1	START	1557346212598	1557346212598
REQUEST	1		perfectmatch	1557346212635	1557346212657	OK	 
USER	RampUpUsers	1	END	1557346212598	1557346212689
USER	RampUpUsers	2	START	1557346212689	1557346212689
REQUEST	2		perfectmatch	1557346212690	1557346212704	OK	 
USER	RampUpUsers	2	END	1557346212689	1557346212705
USER	RampUpUsers	3	START	1557346212735	1557346212735
REQUEST	3		perfectmatch	1557346212735	1557346212750	OK	 
USER	RampUpUsers	3	END	1557346212735	1557346212750
USER	RampUpUsers	4	START	1557346212789	1557346212789
REQUEST	4		perfectmatch	1557346212789	1557346212803	OK	 
USER	RampUpUsers	4	END	1557346212789	1557346212804
USER	RampUpUsers	5	START	1557346212836	1557346212836
REQUEST	5		perfectmatch	1557346212836	1557346212851	OK	 
USER	RampUpUsers	5	END	1557346212836	1557346212852
USER	RampUpUsers	6	START	1557346212891	1557346212891
REQUEST	6		perfectmatch	1557346212892	1557346212906	OK	 
USER	RampUpUsers	6	END	1557346212891	1557346212907
USER	RampUpUsers	7	START	1557346212939	1557346212939
REQUEST	7		perfectmatch	1557346212939	1557346212957	OK	 
USER	RampUpUsers	7	END	1557346212939	1557346212958
USER	RampUpUsers	8	START	1557346212987	1557346212987
REQUEST	8		perfectmatch	1557346212987	1557346213001	OK	 
USER	RampUpUsers	8	END	1557346212987	1557346213002
USER	RampUpUsers	9	START	1557346213041	1557346213041
REQUEST	9		perfectmatch	1557346213042	1557346213047	OK	 
USER	RampUpUsers	9	END	1557346213041	1557346213048
USER	RampUpUsers	10	START	1557346213088	1557346213088
REQUEST	10		perfectmatch	1557346213088	1557346213093	OK	 
USER	RampUpUsers	10	END	1557346213088	1557346213094
USER	RampUpUsers	11	START	1557346213136	1557346213136
REQUEST	11		perfectmatch	1557346213136	1557346213141	OK	 
USER	RampUpUsers	11	END	1557346213136	1557346213142
USER	RampUpUsers	12	START	1557346213191	1557346213191
REQUEST	12		perfectmatch	1557346213191	1557346213197	OK	 
USER	RampUpUsers	12	END	1557346213191	1557346213197
USER	RampUpUsers	13	START	1557346213238	1557346213238
